species,species_refID,datetime,temp,humid,lengthAudio,log_maxAmp,log_rangeAmp,log_iqrAmp,log_crestFactor,log_power,log_rms,sqrt_domfreq,bioacousticIndex,bioacousticIndex_2,bioacousticIndex_3,bioacousticIndex_4,log_amplitudeIndex,spectralEntropy,temporalEntropy,acousticEntropy,harmonics.1,harmonics.2,harmonics.3,harmonics.4,harmonics.5,harmonics.6,harmonics.7,harmonics.8,harmonics.9,harmonics.10,log_gamAmp,log_maxAmp_g,log_rangeAmp_g,log_iqrAmp_g,log_crestFactor_g,log_power_g,log_rms_g,log_fundFreq,sqrt_domfreq_g,bioacousticIndex_g,bioacousticIndex_g_2,bioacousticIndex_g_3,bioacousticIndex_g_4,log_amplitudeIndex_g,spectralEntropy_g,temporalEntropy_g,acousticEntropy_g,harmonics_g.1,harmonics_g.2,harmonics_g.3,harmonics_g.4,harmonics_g.5,harmonics_g.6,harmonics_g.7,harmonics_g.8,harmonics_g.9,harmonics_g.10
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 11:01,25.2,30.6,263,-9.361932596,-8.745617858,-9.449929734,0.626551907,-19.97696901,-9.988484503,0.306186218,2.606514962,2.604153817,0.900450443,5.730894202,-21.65156799,0.874637643,0.122997362,0.107578122,0.0234375,0.09375,0.146484375,0.330078125,0.215820313,0.432617188,0.513671875,0.181640625,0.573242188,0.674804688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 12:18,26.6,31.1,519,-8.59977974,-8.10522298,-9.084947634,0.856339761,-18.912239,-9.456119501,0.275992527,2.181764214,2.165955341,0.842185087,3.816565225,-20.05709448,0.84115627,0.195881132,0.164766642,0.01171875,0.03515625,0.076171875,0.266601563,0.155273438,0.291992188,0.38671875,2.319335938,1.556640625,1.814453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 13:16,26.6,31.1,892,-7.973600865,-7.527558496,-10.16178886,1.264079052,-18.47535983,-9.237679917,0.353553391,2.77919852,2.773427341,0.822303431,5.806064354,-18.78305906,0.810483255,0.166572346,0.135004097,0.015625,0.026367188,0.125,0.079101563,0.177734375,0.248046875,0.206054688,0.19140625,0.219726563,0.544921875,-2.889253244,6.72E-05,-8.996462867,-10.82075725,1.265663632,-21.74745327,-10.87372663,-1.890850372,0.353553391,1.883822889,1.876312903,0.526895814,6.201272952,-22.07883849,0.939838251,0.202901618,0.190694702,0.125,0.139648438,0.09765625,0.30859375,0.244140625,0.17578125,0.22265625,0.19140625,0.344726563,0.54296875
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 13:24,26.6,30.6,533,-8.277380989,-7.804504613,-9.887682442,1.103720502,-18.76220298,-9.381101491,0.225346955,2.313021911,1.920598527,1.004194029,4.845072569,-20.22946644,0.805713486,0.141384715,0.113915572,0.030273438,0.009765625,0.05078125,0.07421875,0.09375,0.116210938,0.211914063,2.419921875,0.689453125,0.719726563,-3.066305514,5.57E-05,-9.216847195,-11.26443876,1.155493175,-21.90187332,-10.95093666,-2.339399066,0.284701049,1.662297896,1.348587375,0.480306534,4.800352591,-24.42481995,0.939487583,0.143421937,0.134743129,0.081054688,0.09765625,0.166015625,0.267578125,0.22265625,2.208984375,0.54296875,1.826171875,0.286132813,2.420898438
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:26,25.2,35,428,-7.597514708,-7.085985767,-7.882410638,0.762367497,-16.71976441,-8.359882206,0.359035165,2.942482587,2.94093582,0.935642983,6.245543454,-19.57677955,0.740387502,0.159733028,0.118264337,0.016601563,0.046875,0.12890625,0.212890625,0.083007813,0.168945313,0.45703125,0.291015625,0.567382813,1.716796875,-2.376671403,0.000146828,-8.311864573,-10.36217084,1.462585329,-20.57766176,-10.28883088,-1.558144618,0.359035165,1.843885321,1.830515037,0.666681,5.445422278,-24.5363481,0.909879024,0.10776905,0.098056798,0.12890625,0.212890625,0.170898438,0.092773438,0.290039063,0.354492188,0.4609375,0.568359375,1.716796875,1.274414063
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:29,25.2,35,752,-9.157539115,-8.60361341,-9.507692825,0.820441455,-19.95596114,-9.97798057,0.32923918,2.839043503,2.791830047,0.551054834,4.976600808,-19.77086526,0.884155146,0.286107302,0.252963243,0.0078125,0.108398438,0.329101563,0.022460938,0.032226563,0.2109375,0.09375,0.229492188,0.04296875,0.07421875,-4.222907175,5.58E-05,-9.210255488,-10.84025964,1.071080026,-21.73091196,-10.86545598,-1.098612289,0.330718914,2.141524184,2.095485424,0.682396292,4.963024974,-24.9583383,0.938087594,0.18651403,0.174966498,0.109375,0.328125,0.2109375,0.228515625,0.553710938,0.092773438,0.348632813,1.387695313,0.64453125,0.452148438
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:30,25.2,35,1283,-9.088128941,-8.427364387,-9.821717177,0.959484133,-20.09522615,-10.04761307,0.326259578,1.81334515,1.796951764,0.779846296,3.437469192,-19.63954456,0.894113663,0.336545145,0.300909612,0.009765625,0.017578125,0.025390625,0.0390625,0.106445313,0.234375,0.044921875,0.24609375,0.056640625,0.271484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:31,25.2,35,358,-7.746345326,-7.196412306,-8.197520197,0.823853564,-17.14039778,-8.57019889,0.265165043,2.976973174,2.902225602,0.821923293,5.278717704,-20.27031243,0.731830779,0.120894964,0.088474656,0.020507813,0.0703125,0.17578125,0.203125,0.268554688,0.293945313,0.358398438,0.333984375,1.270507813,2.283203125,-2.398997988,6.86E-05,-8.959286062,-10.37877574,0.944412656,-21.06323947,-10.53161973,-2.1690537,0.333658695,2.551857278,2.425728637,0.850323452,6.086807029,-23.23787872,0.918389593,0.114247646,0.104923849,0.111328125,0.166015625,0.073242188,0.76171875,1.3828125,1.971679688,1.575195313,1.512695313,1.748046875,2.688476563
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:32,25.2,35,288,-9.04620198,-8.485429762,-10.07620052,0.882439779,-19.85728352,-9.928641759,0.373695648,2.781582805,2.724468501,0.784322806,5.626450292,-21.6445741,0.866040791,0.125805712,0.108952878,0.021484375,0.139648438,0.103515625,0.189453125,0.328125,0.52734375,0.225585938,1.108398438,1.614257813,1.185546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,10/02/2020 16:53,25.2,35,1130,-8.475503802,-8.207985229,-10.56626558,1.300215017,-19.55143764,-9.77571882,0.503891109,2.037760573,1.846713808,0.348674814,5.053067521,-18.66687685,0.875472582,0.107654732,0.094248767,0.004882813,0.01171875,0.25390625,0.422851563,0.514648438,1.6484375,1.158203125,2.186523438,2.09765625,1.549804688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
